,Tile,TreeCover10,Shrubland20,Grassland30,Cropland40,Built_Up50,BareSparseVegetation60,SnowIce70,PermanentWaterBodies80,HerbaceousWetland90,Mangroves95,MossLichen100,ENS score,Average STD
0,29SND,40.811573381739294,4.735007947480789,41.18599142863413,8.65180472083494,2.505658073355091,0.23868698839072136,0.0,1.7059823995435293,0.1652950600215068,0.0,0.0,0.3407947746578719,0.0431486146095718
1,29SPC,29.314501178075396,4.094252232142857,51.08839208209326,12.270765128968254,0.8449428013392857,0.13991892981150794,0.0,2.247220672123016,6.975446428571428e-06,0.0,0.0,0.3324216572400938,0.043740909090909
2,29SQB,26.46707548749042,9.261728258549224,25.103197310567143,27.82220056792615,2.552047098861844,1.7441107225623944,0.0,4.094375872506876,2.95526468153595,0.0,0.0,0.3489640159505833,0.0328849557522123
3,29TNE,56.27870650552905,5.040070141892686,22.04993162171026,2.4272018737507812,4.037285505659,0.3682286928917519,0.0,9.595668498338501,0.2029071602279689,0.0,0.0,0.3377856322793173,0.0510301204819277
4,29TPE,34.80629056904903,6.842817232427182,51.94462018394571,3.961906011799437,1.3467151798199763,0.1295335888721446,0.0,0.9680953609297147,2.1873156809415413e-05,0.0,0.0,0.2963567097494796,0.0412881355932203
5,29TPH,58.49429792324211,2.4048618617320248,34.163550088633315,3.099441538040267,1.03376280859527,0.32113220055630015,0.0,0.48244772075460823,0.0005058584461066194,0.0,0.0,0.3115038440394664,0.0478518518518518
6,29TQF,11.847155178662028,2.2068369935493224,53.28742915126477,30.221830107994492,1.2744473436254258,0.1584525621511923,0.0,1.0037631369138218,8.552583895049648e-05,0.0,0.0,0.3248837477966141,0.0446974789915966
7,30STJ,23.164745409734135,2.647042827498895,52.497187034137646,18.742375776281193,1.1955314670122632,0.178915865726764,0.0,1.5741956266059376,5.9930031688004255e-06,0.0,0.0,0.3545933626270927,0.0356106870229007
8,30TTK,36.82823056933617,5.205316855657926,49.96306032955351,4.844751063075833,0.9304298074651547,0.5545165957949445,0.0,1.6736925643751477,2.2147413182140324e-06,0.0,0.0,0.3399374602603202,0.0384324324324324
9,30TWK,38.03737213878627,7.561612397200513,17.174507738194688,35.5174511605745,0.6959068941405065,0.3525867723590819,0.0,0.6598419873639396,0.000720911380498883,0.0,0.0,0.3411986489948576,0.0408064516129032
10,30TWM,35.237971592680665,8.438866411969993,26.718384366582896,27.45431876152803,1.2780153193663386,0.5230177423656738,0.0,0.3476301563867633,0.0017956491196435749,0.0,0.0,0.321508750620593,0.0441379310344827
11,30TXR,18.34140419065592,0.011953710230872829,16.09232375957627,18.679809667748298,1.9911780356746112,0.20437607831627685,0.0,30.54978015376893,1.0997255693647088,0.0,0.0,0.3418379827845136,0.0448823529411764
12,30TXS,13.822044660881932,0.000782461021724404,22.68531666776651,43.456576106791786,3.8569187196729016,0.12900573580291141,0.0,15.6112798288013,0.35948023578877053,0.0,0.0,0.3358171894833904,0.0464375
13,30TYN,49.93632194689073,2.4447515557602446,34.72420288349209,6.853915095929188,1.297666921279655,4.188777745327103,0.028007896746944642,0.46044956977893603,0.002704326923076923,0.0,0.0632020578720345,0.3051370647567896,0.0504090909090909
14,30TYQ,43.87671990638931,0.014908344057295823,31.36293893585713,21.11998213577894,2.5472662040430696,0.04667095625166289,0.0,1.0139228254790489,0.01759069214354363,0.0,0.0,0.304385823422765,0.0549629629629629
15,30TYR,42.44311129803199,0.010823386472268952,27.069893054554193,27.59571750914577,2.361759993591284,0.08287337445592673,0.0,0.43359902801142886,0.002222355737135838,0.0,0.0,0.2454609134775499,0.0402777777777777
16,30UWB,17.063286695529627,0.0002602744943691835,38.077682414331605,18.561780912357325,3.3909526046493914,0.09664118939095769,0.0,22.59898810355116,0.21040780569556772,0.0,0.0,0.348923920374109,0.0622307692307692
17,30UXD,14.388936675209571,6.449687454009331e-06,26.629744551333356,50.49192059379341,7.046246018050916,0.15078841565773032,0.0,1.1161535940297003,0.17620370223786563,0.0,0.0,0.315232968497954,0.0432727272727272
18,30UYU,28.65396634388211,3.1501420714074203e-06,24.41175318006842,44.37255974244439,2.235954461546216,0.03336000453620458,0.0,0.28852088229179135,0.003882235088802505,0.0,0.0,0.3067395317418792,0.0542651515151515
19,30UYV,26.59407860001283,3.639117927158429e-05,24.319550328384132,37.10739160362974,3.227095761846254,0.07224327565023018,0.0,8.48464785674458,0.1409165149339531,0.0,0.0,0.3311965269526452,0.0522962962962963
20,31TBF,35.4830691967205,13.102934808197002,24.346787201701943,21.290823710971672,1.186550539559459,1.504323886804407,0.0,2.965906613926534,0.11960404211847929,0.0,0.0,0.299314742355125,0.0363858267716535
21,31TCG,46.34282512659641,9.467248687039582,16.77787984796682,24.141256329820358,2.036704146252629,0.6372866072162889,0.0,0.5883149460129475,0.0017373961674479808,0.0,0.006746912927519885,0.3193557023140166,0.03321875
