,TileName,Mean,Variance,ENS Tile
0,29SND,0.09316245813566489,0.04498177399583927,0.3407947746578719
1,29SPC,0.08818538149333896,0.0426217329033219,0.3324216572400938
2,29SQB,0.07705305889354655,0.03053373558683184,0.3489640159505833
3,29TNE,0.09474127231733953,0.04901485656081424,0.3377856322793173
4,29TPE,0.08284351296111665,0.04204064440087018,0.2963567097494796
5,29TPH,0.09703323456790124,0.04189728636451223,0.3115038440394664
6,29TQF,0.09465642460317461,0.04141756047101602,0.3248837477966141
7,30STJ,0.08310015035043078,0.03233842510635874,0.3545933626270927
8,30TTK,0.08580600414098308,0.035751812281371455,0.3399374602603202
9,30TWK,0.09778204659498209,0.04412712481929324,0.3411986489948576
10,30TWM,0.09714699999999998,0.047558815205118087,0.321508750620593
11,30TXR,0.10376591176470588,0.04450492744846813,0.3418379827845136
12,30TXS,0.11187209375,0.04546832062718228,0.3358171894833904
13,30TYN,0.08571420918941738,0.042733718111456036,0.3051370647567896
14,30TYQ,0.11057909259259259,0.05641148292956005,0.304385823422765
15,30TYR,0.10704799000974659,0.046919226543725885,0.2454609134775499
16,30UWB,0.12655103846153845,0.05866570867759346,0.348923920374109
17,30UXD,0.10974459090909089,0.04269100720532411,0.315232968497954
18,30UYU,0.11304155741626795,0.04482269807309833,0.3067395317418792
19,30UYV,0.11193656944444444,0.042986257068135844,0.3311965269526452
20,31TBF,0.0948161056450761,0.04427731706811491,0.299314742355125
21,31TCG,0.08948150991410819,0.0400656241257841,0.3193557023140166
22,31TCN,0.095635075,0.04131081350740697,0.3407230227584217
23,31TDH,0.09474175654047401,0.05587913268573417,0.3394313653818377
24,31TDJ,0.09658408395989976,0.05415374511626668,0.3107033368927663
25,31TDK,0.10861290263157894,0.054914113732486766,0.3414233849257373
26,31TEJ,0.08999962211449676,0.0468019980554623,0.3107075029305411
27,31TGN,0.10810988235294118,0.03943174259846179,0.3266146746265194
28,31UES,0.12740705263157895,0.039499344124279676,0.2685204451190679
29,31UFP,0.10605940782437376,0.05039427961312122,0.3392365155634488
30,31UGS,0.10213813078149919,0.041545730037147816,0.2718510773234162
31,32TML,0.09443932717209691,0.042713793443173505,0.3121609833203742
32,32TNR,0.09687162631578947,0.042548610759895855,0.3104563511078405
33,32TPP,0.10056192499999998,0.054586721233294125,0.3303064567272988
34,32TPR,0.11975076439874195,0.041736119540213626,0.3189905458271042
35,32TPS,0.10853713157894736,0.0464459251292856,0.3276872505812101
36,32TPT,0.1435985947368421,0.04350148122244308,0.3369420097633433
37,32TQM,0.09061748559670785,0.04904860677057775,0.3433256689202145
38,32TQP,0.09351502631578948,0.04544370736474132,0.34087633201209
39,32UMC,0.12286034649122807,0.04942098217982374,0.2971301097123457
40,32UNC,0.11926067142857141,0.047889897331776926,0.321880685341563
41,32UNG,0.12446675000000001,0.04628244463993405,0.2867561223671973
42,32UNU,0.1269142894736842,0.05196656740903535,0.3014331569604347
43,32UPC,0.12856333881578946,0.05810804626774575,0.3045883451592631
44,32UQC,0.11797543684210525,0.05480555432901439,0.3418482394579859
45,32VMM,0.11658318749999999,0.06038955161903232,0.349362907776548
46,32VPP,0.11518530701754387,0.058920200285573245,0.3362264798700338
47,33SXD,0.08871992927631578,0.03971979130116093,0.2994750096432886
48,33TUN,0.12946833333333332,0.06098103665586801,0.3240346240508556
49,33TVF,0.1005975,0.039030064251756195,0.2942540045210152
50,33TWE,0.09288437518633184,0.04886679133623342,0.3018193615599948
51,33TXJ,0.08699536549316696,0.043692381639615425,0.3256317939765205
52,33TXN,0.09521232894736842,0.03906265461327692,0.3200707948294006
53,33TYM,0.09356190000000002,0.05179059569066367,0.3251154138693272
54,33TYN,0.0971455519031142,0.04250045135881292,0.2962200356558729
55,33UVR,0.10797308108108107,0.0549646469514919,0.2655598041312235
56,33UWT,0.1101613585611315,0.04823774756195464,0.2833578468520771
57,33UXP,0.10556439821661592,0.043794288866383285,0.2809990857984311
58,33UXQ,0.1060501649122807,0.04546865674532708,0.2412709033447992
59,33VUE,0.10849657692307692,0.049867184970636455,0.307057668418059
60,33VUF,0.1058580593220339,0.051094000541958284,0.3067863950840245
61,33VUG,0.11304991447368418,0.0589849704142324,0.2695445803822524
62,33VVG,0.1095348947368421,0.05137521949388786,0.2968394072701934
63,33VWE,0.10122108771929826,0.04441829552997664,0.2641455849568977
64,33VXG,0.11400742424242424,0.050490047981042764,0.2860181947363754
65,33VXH,0.10918748026315789,0.055618001988675815,0.2936080472749615
66,34SEJ,0.09605858039543304,0.041706524081429,0.2995307969170237
67,34SFF,0.08819015966356221,0.043158033719049325,0.2980447886111584
68,34TCL,0.08268686015325671,0.031449136304524755,0.2973911758453951
69,34TCQ,0.08716708823529414,0.037280081908623246,0.2828244443460397
70,34TDK,0.08402716626794259,0.036478038611556345,0.2911630968165093
71,34TDM,0.08410358684210527,0.03216473126776128,0.3525655746008627
72,34TDP,0.09956815625,0.04974374692645472,0.3677633204198327
73,34TDQ,0.09218813333333334,0.04378023441148931,0.3267086862790531
74,34TEL,0.09046858688387638,0.04528856930727012,0.3489280939232169
75,34TET,0.09328261538461537,0.04569466599640131,0.3751594061456242
76,34TFL,0.08735629858086559,0.04020464467773958,0.3776158160055029
77,34TFN,0.10170496555353901,0.0590596878400808,0.3070241311199383
78,34TFP,0.07915203333333333,0.034265312794303365,0.3557888133096286
79,34TFT,0.09879786703601107,0.04872584616302937,0.3342206260016494
80,34VCL,0.09631890476190476,0.049684857304387806,0.3399196493257764
81,34VFQ,0.10129193749999998,0.048698813567094025,0.3586890988223016
0,29SND,0.09316245813566489,0.04498177399583927,0.3407947746578719
1,29SPC,0.08818538149333896,0.0426217329033219,0.3324216572400938
2,29SQB,0.07705305889354655,0.03053373558683184,0.3489640159505833
3,29TNE,0.09474127231733953,0.04901485656081424,0.3377856322793173
4,29TPE,0.08284351296111665,0.04204064440087018,0.2963567097494796
5,29TPH,0.09703323456790124,0.04189728636451223,0.3115038440394664
6,29TQF,0.09465642460317461,0.04141756047101602,0.3248837477966141
7,30STJ,0.08310015035043078,0.03233842510635874,0.3545933626270927
8,30TTK,0.08580600414098308,0.035751812281371455,0.3399374602603202
9,30TWK,0.09778204659498209,0.04412712481929324,0.3411986489948576
10,30TWM,0.09714699999999998,0.047558815205118087,0.321508750620593
11,30TXR,0.10376591176470588,0.04450492744846813,0.3418379827845136
12,30TXS,0.11187209375,0.04546832062718228,0.3358171894833904
13,30TYN,0.08571420918941738,0.042733718111456036,0.3051370647567896
14,30TYQ,0.11057909259259259,0.05641148292956005,0.304385823422765
15,30TYR,0.10704799000974659,0.046919226543725885,0.2454609134775499
16,30UWB,0.12655103846153845,0.05866570867759346,0.348923920374109
17,30UXD,0.10974459090909089,0.04269100720532411,0.315232968497954
18,30UYU,0.11304155741626795,0.04482269807309833,0.3067395317418792
19,30UYV,0.11193656944444444,0.042986257068135844,0.3311965269526452
20,31TBF,0.0948161056450761,0.04427731706811491,0.299314742355125
21,31TCG,0.08948150991410819,0.0400656241257841,0.3193557023140166
22,31TCN,0.095635075,0.04131081350740697,0.3407230227584217
23,31TDH,0.09474175654047401,0.05587913268573417,0.3394313653818377
24,31TDJ,0.09658408395989976,0.05415374511626668,0.3107033368927663
25,31TDK,0.10861290263157894,0.054914113732486766,0.3414233849257373
26,31TEJ,0.08999962211449676,0.0468019980554623,0.3107075029305411
27,31TGN,0.10810988235294118,0.03943174259846179,0.3266146746265194
28,31UES,0.12740705263157895,0.039499344124279676,0.2685204451190679
29,31UFP,0.10605940782437376,0.05039427961312122,0.3392365155634488
30,31UGS,0.10213813078149919,0.041545730037147816,0.2718510773234162
31,32TML,0.09443932717209691,0.042713793443173505,0.3121609833203742
32,32TNR,0.09687162631578947,0.042548610759895855,0.3104563511078405
33,32TPP,0.10056192499999998,0.054586721233294125,0.3303064567272988
34,32TPR,0.11975076439874195,0.041736119540213626,0.3189905458271042
35,32TPS,0.10853713157894736,0.0464459251292856,0.3276872505812101
36,32TPT,0.1435985947368421,0.04350148122244308,0.3369420097633433
37,32TQM,0.09061748559670785,0.04904860677057775,0.3433256689202145
38,32TQP,0.09351502631578948,0.04544370736474132,0.34087633201209
39,32UMC,0.12286034649122807,0.04942098217982374,0.2971301097123457
40,32UNC,0.11926067142857141,0.047889897331776926,0.321880685341563
41,32UNG,0.12446675000000001,0.04628244463993405,0.2867561223671973
42,32UNU,0.1269142894736842,0.05196656740903535,0.3014331569604347
43,32UPC,0.12856333881578946,0.05810804626774575,0.3045883451592631
44,32UQC,0.11797543684210525,0.05480555432901439,0.3418482394579859
45,32VMM,0.11658318749999999,0.06038955161903232,0.349362907776548
46,32VPP,0.11518530701754387,0.058920200285573245,0.3362264798700338
47,33SXD,0.08871992927631578,0.03971979130116093,0.2994750096432886
48,33TUN,0.12946833333333332,0.06098103665586801,0.3240346240508556
49,33TVF,0.1005975,0.039030064251756195,0.2942540045210152
50,33TWE,0.09288437518633184,0.04886679133623342,0.3018193615599948
51,33TXJ,0.08699536549316696,0.043692381639615425,0.3256317939765205
52,33TXN,0.09521232894736842,0.03906265461327692,0.3200707948294006
53,33TYM,0.09356190000000002,0.05179059569066367,0.3251154138693272
54,33TYN,0.0971455519031142,0.04250045135881292,0.2962200356558729
55,33UVR,0.10797308108108107,0.0549646469514919,0.2655598041312235
56,33UWT,0.1101613585611315,0.04823774756195464,0.2833578468520771
57,33UXP,0.10556439821661592,0.043794288866383285,0.2809990857984311
58,33UXQ,0.1060501649122807,0.04546865674532708,0.2412709033447992
59,33VUE,0.10849657692307692,0.049867184970636455,0.307057668418059
